,Historical Price,Forecast,Lower Confidence,Upper Confidence
2023-12-19,49.5822530979167,,,
2023-12-20,48.0899076444213,,,
2023-12-21,48.9685222818108,,,
2023-12-22,48.8085924274509,,,
2023-12-25,48.8085924274509,,,
2023-12-26,49.2573955812483,,,
2023-12-27,49.3953350806337,,,
2023-12-28,49.5002890475573,,,
2023-12-29,49.5002890475573,,,
2024-01-01,49.5002890475573,,,
2024-01-02,48.146882655037,,,
2024-01-03,47.5481452627772,,,
2024-01-04,47.9769571847796,,,
2024-01-05,49.0754753719139,,,
2024-01-08,52.2300917491622,,,
2024-01-09,53.1167028792697,,,
2024-01-10,54.3261724028662,,,
2024-01-11,54.7979654732278,,,
2024-01-12,54.6860145751759,,,
2024-01-15,54.6860145751759,,,
2024-01-16,56.3572815532365,,,
2024-01-17,56.028425790209,,,
2024-01-18,57.0819637058046,,,
2024-01-19,59.4649185357666,,,
2024-01-22,59.6278470748957,,,
2024-01-23,59.8467510630507,,,
2024-01-24,61.3350982701872,,,
2024-01-25,61.5899864755732,,,
2024-01-26,61.0042433839802,,,
2024-01-29,62.4376147036805,,,
2024-01-30,62.746479234913,,,
2024-01-31,61.5000259324958,,,
2024-02-01,62.9993683171195,,,
2024-02-02,66.1309947778036,,,
2024-02-05,69.3016041404879,,,
2024-02-06,68.1930903374561,,,
2024-02-07,70.0682678798255,,,
2024-02-08,69.6104686717204,,,
2024-02-09,72.1013761533753,,,
2024-02-12,72.2163257361965,,,
2024-02-13,72.0963783454265,,,
2024-02-14,73.867601482462,,,
2024-02-15,72.6261459879936,,,
2024-02-16,72.5811657164549,,,
2024-02-19,72.5811657164549,,,
2024-02-20,69.4215515312578,,,
2024-02-21,67.4424195835545,,,
2024-02-22,78.5035681357186,,,
2024-02-23,78.7824458192586,,,
2024-02-26,79.0573252564396,,,
2024-02-27,78.6664966748477,,,
2024-02-28,77.6289517446881,,,
2024-02-29,79.0773164882346,,,
2024-03-01,82.2429280429701,,,
2024-03-04,85.1996312254481,,,
2024-03-05,85.9303107475547,,,
2024-03-06,88.6652385104009,,,
2024-03-07,92.6326830611087,,,
2024-03-08,87.4936978166671,,,
2024-03-11,85.7403852084682,,,
2024-03-12,91.8769793371644,,,
2024-03-13,90.8523810341975,,,
2024-03-14,87.9095347864566,,,
2024-03-15,87.8020769156576,,,
2024-03-18,88.4203345257893,,,
2024-03-19,89.3629649645189,,,
2024-03-20,90.3365832543625,,,
2024-03-21,91.3991666651467,,,
2024-03-22,94.2520481838466,,,
2024-03-25,94.9647687594714,,,
2024-03-26,92.5247253862595,,,
2024-03-27,90.2146310661069,,,
2024-03-28,90.3205895247552,,,
2024-03-29,90.3205895247552,,,
2024-04-01,90.3275867814584,,,
2024-04-02,89.4169438019435,,,
2024-04-03,88.9291350489212,,,
2024-04-04,85.8713338696279,,,
2024-04-05,87.9735097048858,,,
2024-04-08,87.0988526169872,,,
2024-04-09,85.3205498062769,,,
2024-04-10,87.0048894555444,,,
2024-04-11,90.5804876308736,,,
2024-04-12,88.1514399467668,,,
2024-04-15,85.9672962472716,,,
2024-04-16,87.3807421013156,,,
2024-04-17,84.0020667217761,,,
2024-04-18,84.6378174736658,,,
2024-04-19,76.1701372547075,,,
2024-04-22,79.4868369320187,,,
2024-04-23,82.3906984638419,,,
2024-04-24,79.6457746199912,,,
2024-04-25,82.5996165568371,,,
2024-04-26,87.7006166934614,,,
2024-04-29,87.7226080716714,,,
2024-04-30,86.3681390955542,,,
2024-05-01,83.0084562699234,,,
2024-05-02,85.7833683567878,,,
2024-05-03,88.7542036313415,,,
2024-05-06,92.1038903759678,,,
2024-05-07,90.5185119286454,,,
2024-05-08,90.3765675783807,,,
2024-05-09,88.7122200911223,,,
2024-05-10,89.8427768527375,,,
2024-05-13,90.3635726730748,,,
2024-05-14,91.3201976252107,,,
2024-05-15,94.5929145461019,,,
2024-05-16,94.3220207508785,,,
2024-05-17,92.4427575220222,,,
2024-05-20,94.7428557611702,,,
2024-05-21,95.3486182700463,,,
2024-05-22,94.9127891382477,,,
2024-05-23,103.758321219178,,,
2024-05-24,106.427274847394,,,
2024-05-27,106.427274847394,,,
2024-05-28,113.856362249979,,,
2024-05-29,114.7800001348,,,
2024-05-30,110.45669510033,,,
2024-05-31,109.590034877235,,,
2024-06-03,114.95493155238,,,
2024-06-04,116.391368392735,,,
2024-06-05,122.392015819769,,,
2024-06-06,120.950580938912,,,
2024-06-07,120.840624047862,,,
2024-06-10,121.742270554473,,,
2024-06-11,120.872611507076,,,
2024-06-12,125.161284928343,,,
2024-06-13,129.569921242512,,,
2024-06-14,131.839219299919,,,
